Iteration,Algorithm,Core Type,IPC,Memory Usage (MB),Cache Hit Rate,Action,Reward,Next IPC,Next Memory Usage (MB),Next Cache Hit Rate
6,LU,In-Order,0.99,338.5,0.8,0,0.49,0.99,330.4,0.81
7,LU,In-Order,1.1,340.9,0.75,0,0.55,1.17,336.0,0.74
8,LU,In-Order,0.98,342.3,0.81,0,0.49,0.97,330.8,0.8
9,LU,In-Order,1.07,346.1,0.8,0,0.54,1.05,358.5,0.81
10,LU,In-Order,0.97,360.1,0.84,0,0.48,1.0,359.3,0.85
1,LU,In-Order,0.86,346.6,0.78,0,0.43,0.83,345.9,0.79
2,LU,In-Order,1.0,348.3,0.78,0,0.5,0.99,353.4,0.77
3,LU,In-Order,1.08,348.6,0.8,0,0.54,1.05,339.9,0.79
4,LU,In-Order,1.05,358.6,0.78,0,0.53,1.06,366.8,0.77
5,LU,In-Order,0.9,355.5,0.81,0,0.45,0.89,362.4,0.81
6,LU,In-Order,1.03,338.6,0.83,0,0.51,1.02,339.9,0.84
7,LU,In-Order,1.06,338.8,0.78,0,0.53,1.05,323.2,0.78
8,LU,In-Order,1.03,363.2,0.79,0,0.51,1.06,361.0,0.79
9,LU,In-Order,1.1,362.5,0.83,0,0.55,1.09,354.1,0.81
10,LU,In-Order,1.07,335.9,0.79,0,0.54,1.08,339.1,0.78
1,LU,In-Order,0.99,337.0,0.83,0,0.5,0.95,339.8,0.84
2,LU,In-Order,0.99,341.6,0.82,0,0.5,1.02,328.4,0.83
3,LU,In-Order,1.05,352.8,0.82,0,0.53,1.06,335.1,0.83
4,LU,In-Order,0.88,345.8,0.74,0,0.44,0.88,351.0,0.74
5,LU,In-Order,1.05,343.0,0.8,0,0.52,1.04,332.9,0.8
6,LU,In-Order,0.95,343.8,0.78,0,0.48,0.95,346.7,0.78
7,LU,In-Order,1.06,344.6,0.77,0,0.53,1.05,330.9,0.76
8,LU,In-Order,0.95,351.6,0.8,0,0.48,0.96,363.3,0.8
9,LU,In-Order,1.02,345.0,0.81,0,0.51,1.07,338.3,0.8
10,LU,In-Order,0.99,342.7,0.75,0,0.49,0.98,339.3,0.73
1,LU,In-Order,0.95,341.5,0.81,0,0.47,0.89,337.0,0.81
2,LU,In-Order,0.95,336.6,0.82,0,0.48,0.97,321.4,0.81
3,LU,In-Order,0.97,353.0,0.81,0,0.49,0.99,356.3,0.8
4,LU,In-Order,0.89,353.8,0.79,0,0.45,0.9,354.2,0.79
5,LU,In-Order,1.06,357.1,0.8,0,0.53,1.08,355.0,0.79
6,LU,In-Order,1.12,345.4,0.85,0,0.56,1.08,331.8,0.85
7,LU,In-Order,1.06,357.8,0.77,0,0.53,1.05,353.6,0.78
8,LU,In-Order,1.0,364.9,0.84,0,0.5,1.01,364.5,0.86
9,LU,In-Order,1.08,363.8,0.79,0,0.54,1.06,364.7,0.79
10,LU,In-Order,0.95,356.2,0.8,0,0.47,0.97,349.3,0.79
1,LU,In-Order,1.06,359.8,0.8,0,0.53,1.1,366.7,0.78
2,LU,In-Order,0.88,345.7,0.82,0,0.44,0.92,340.3,0.8
3,LU,In-Order,1.04,353.0,0.81,0,0.52,1.03,349.6,0.81
4,LU,In-Order,1.11,341.8,0.81,0,0.56,1.19,338.5,0.83
5,LU,In-Order,1.02,359.2,0.81,0,0.51,1.06,368.3,0.84
6,LU,In-Order,1.06,357.4,0.78,0,0.53,1.08,346.0,0.77
7,LU,In-Order,0.99,351.9,0.82,0,0.5,1.0,359.8,0.82
8,LU,In-Order,1.07,364.2,0.79,0,0.53,1.1,367.0,0.79
9,LU,In-Order,0.92,343.1,0.81,0,0.46,0.92,330.8,0.81
10,LU,In-Order,0.99,343.7,0.81,0,0.5,1.03,336.5,0.8
1,LU,In-Order,0.91,337.3,0.81,0,0.46,0.88,329.4,0.82
2,LU,In-Order,1.0,357.9,0.82,0,0.5,1.05,362.7,0.81
3,LU,In-Order,0.97,351.3,0.83,0,0.48,0.94,347.6,0.82
4,LU,In-Order,1.06,348.5,0.83,0,0.53,1.13,351.8,0.84
5,LU,In-Order,0.94,345.8,0.79,0,0.47,0.98,337.7,0.8
6,LU,In-Order,0.95,356.6,0.82,0,0.48,0.99,351.7,0.83
7,LU,In-Order,0.96,354.2,0.8,0,0.48,0.97,357.0,0.81
8,LU,In-Order,0.99,361.6,0.82,0,0.5,0.95,360.4,0.8
9,LU,In-Order,0.92,357.0,0.79,0,0.46,0.89,347.5,0.8
10,LU,In-Order,1.04,349.8,0.83,0,0.52,1.04,355.3,0.83
1,LU,In-Order,1.12,335.2,0.83,0,0.56,1.12,335.2,0.84
2,LU,In-Order,1.02,358.8,0.79,0,0.51,0.98,356.1,0.79
3,LU,In-Order,0.92,341.0,0.78,0,0.46,0.97,334.9,0.78
4,LU,In-Order,1.01,363.0,0.81,0,0.51,0.99,354.9,0.81
5,LU,In-Order,1.02,335.5,0.78,0,0.51,1.04,346.0,0.78
6,LU,In-Order,1.05,362.4,0.82,0,0.53,1.08,371.6,0.81
7,LU,In-Order,0.91,336.9,0.78,0,0.46,0.91,338.4,0.79
8,LU,In-Order,1.07,360.4,0.82,0,0.54,1.11,355.3,0.81
9,LU,In-Order,1.04,346.1,0.81,0,0.52,1.04,332.3,0.82
10,LU,In-Order,0.98,348.5,0.82,0,0.49,0.99,357.9,0.82
1,LU,In-Order,0.93,355.6,0.79,0,0.46,0.94,359.0,0.79
2,LU,In-Order,1.01,341.6,0.81,0,0.51,0.98,349.7,0.83
3,LU,In-Order,1.07,342.6,0.78,0,0.54,1.06,341.6,0.8
4,LU,In-Order,1.05,362.1,0.78,0,0.53,1.07,357.8,0.79
5,LU,In-Order,1.05,349.2,0.77,0,0.53,1.08,350.2,0.76
6,LU,In-Order,0.95,341.7,0.82,0,0.48,0.96,336.4,0.81
7,LU,In-Order,1.08,347.1,0.84,0,0.54,1.08,347.3,0.84
8,LU,In-Order,1.05,349.0,0.78,0,0.53,1.04,353.8,0.8
9,LU,In-Order,0.94,358.7,0.79,0,0.47,0.87,355.8,0.79
10,LU,In-Order,0.92,350.6,0.78,0,0.46,0.95,344.7,0.79
1,LU,In-Order,0.96,360.5,0.8,0,0.48,0.99,355.4,0.8
2,LU,In-Order,1.0,339.6,0.81,0,0.5,0.97,345.4,0.79
3,LU,In-Order,0.95,335.9,0.8,0,0.48,0.95,330.1,0.79
4,LU,In-Order,0.89,338.3,0.77,0,0.44,0.93,331.8,0.76
5,LU,In-Order,1.06,348.0,0.79,0,0.53,1.04,337.1,0.78
6,LU,In-Order,1.04,338.7,0.79,0,0.52,1.0,349.7,0.78
7,LU,In-Order,1.05,335.5,0.81,0,0.53,1.05,327.7,0.82
8,LU,In-Order,0.97,363.5,0.8,0,0.49,0.94,348.5,0.81
9,LU,In-Order,0.98,345.7,0.79,0,0.49,0.96,337.7,0.8
10,LU,In-Order,1.06,358.6,0.85,0,0.53,1.06,361.9,0.83
1,LU,In-Order,1.02,355.0,0.82,0,0.51,1.03,356.1,0.8
2,LU,In-Order,1.05,344.6,0.81,0,0.53,1.06,347.9,0.82
3,LU,In-Order,0.96,343.0,0.76,0,0.48,0.98,345.4,0.75
4,LU,In-Order,0.98,361.6,0.78,0,0.49,0.96,362.2,0.78
5,LU,In-Order,1.13,343.4,0.83,0,0.57,1.14,345.1,0.83
6,LU,In-Order,0.99,348.4,0.79,0,0.5,1.02,370.7,0.79
7,LU,In-Order,0.86,358.3,0.81,0,0.43,0.84,352.3,0.81
8,LU,In-Order,1.04,350.4,0.8,0,0.52,1.0,354.2,0.8
9,LU,In-Order,0.99,353.4,0.78,0,0.5,0.98,362.4,0.77
10,LU,In-Order,0.98,359.0,0.8,0,0.49,0.98,349.5,0.81
1,LU,In-Order,0.98,356.6,0.79,0,0.49,1.01,365.2,0.78
2,LU,In-Order,0.95,335.3,0.84,0,0.48,0.93,340.5,0.86
3,LU,In-Order,0.88,338.8,0.79,0,0.44,0.89,338.5,0.8
4,LU,In-Order,0.97,346.0,0.76,0,0.48,0.97,346.7,0.77
5,LU,In-Order,0.97,358.5,0.82,0,0.48,0.99,366.1,0.82
6,LU,In-Order,0.85,350.0,0.77,0,0.42,0.8,353.6,0.78
7,LU,In-Order,1.06,338.2,0.81,0,0.53,1.11,332.2,0.81
8,LU,In-Order,1.0,345.5,0.82,0,0.5,0.99,343.4,0.82
9,LU,In-Order,1.07,353.8,0.8,0,0.53,1.09,354.0,0.81
10,LU,In-Order,1.1,335.3,0.83,0,0.55,1.09,342.4,0.84
1,LU,In-Order,0.98,358.1,0.81,0,0.49,1.03,364.0,0.83
2,LU,In-Order,1.02,351.0,0.79,0,0.51,1.03,345.5,0.79
3,LU,In-Order,0.99,362.6,0.84,0,0.5,0.96,365.1,0.84
4,LU,In-Order,0.99,350.5,0.81,0,0.5,0.98,351.6,0.79
5,LU,In-Order,0.96,337.2,0.81,0,0.48,0.98,334.3,0.8
6,LU,In-Order,1.03,336.6,0.76,0,0.52,1.0,330.0,0.75
7,LU,In-Order,0.96,357.7,0.82,0,0.48,0.97,364.2,0.82
8,LU,In-Order,1.06,360.9,0.78,0,0.53,1.09,355.9,0.77
9,LU,In-Order,1.04,350.4,0.83,0,0.52,1.01,349.8,0.82
10,LU,In-Order,1.03,344.9,0.8,0,0.51,1.03,340.0,0.79
1,LU,In-Order,0.96,335.5,0.79,0,0.48,0.98,332.1,0.76
2,LU,In-Order,0.93,336.9,0.79,0,0.47,0.9,337.3,0.81
3,LU,In-Order,0.94,336.0,0.81,0,0.47,0.98,333.6,0.81
4,LU,In-Order,0.97,342.4,0.77,0,0.49,0.96,359.8,0.76
5,LU,In-Order,0.97,343.2,0.83,0,0.49,0.96,362.0,0.83
6,LU,In-Order,0.99,352.9,0.83,0,0.5,1.05,354.3,0.83
7,LU,In-Order,1.1,362.8,0.8,0,0.55,1.11,354.9,0.8
8,LU,In-Order,0.92,346.7,0.8,0,0.46,0.9,343.5,0.78
9,LU,In-Order,1.01,339.9,0.75,0,0.5,1.02,337.1,0.75
10,LU,In-Order,1.05,351.6,0.78,0,0.53,1.02,351.0,0.77
1,LU,In-Order,0.99,355.5,0.81,0,0.49,1.02,349.3,0.8
2,LU,In-Order,0.88,349.2,0.78,0,0.44,0.9,349.4,0.79
3,LU,In-Order,1.03,361.5,0.82,0,0.51,1.05,343.9,0.83
4,LU,In-Order,0.95,346.4,0.8,0,0.48,0.96,329.2,0.8
5,LU,In-Order,1.01,347.7,0.78,0,0.51,0.97,343.1,0.78
6,LU,In-Order,1.04,360.8,0.77,0,0.52,1.01,361.0,0.78
7,LU,In-Order,0.97,346.7,0.79,0,0.48,0.97,348.2,0.8
8,LU,In-Order,1.07,354.7,0.78,0,0.54,1.06,354.0,0.8
9,LU,In-Order,0.99,338.3,0.85,0,0.5,0.96,335.8,0.86
10,LU,In-Order,0.95,347.0,0.81,0,0.48,0.94,350.5,0.8
1,LU,In-Order,0.91,358.7,0.81,0,0.45,0.96,364.6,0.8
2,LU,In-Order,1.07,341.6,0.8,0,0.53,1.09,327.5,0.82
3,LU,In-Order,1.06,339.3,0.8,0,0.53,0.99,321.8,0.8
4,LU,In-Order,0.96,341.4,0.77,0,0.48,0.97,342.8,0.78
5,LU,In-Order,1.01,360.0,0.79,0,0.5,1.03,359.6,0.79
6,LU,In-Order,0.89,348.1,0.81,0,0.45,0.86,349.2,0.81
7,LU,In-Order,0.91,349.1,0.78,0,0.46,0.91,349.4,0.77
8,LU,In-Order,1.03,363.2,0.77,0,0.51,1.03,352.8,0.78
9,LU,In-Order,1.04,357.2,0.79,0,0.52,1.03,348.1,0.79
10,LU,In-Order,0.94,345.3,0.84,0,0.47,0.92,340.2,0.83
1,LU,In-Order,1.04,341.2,0.82,0,0.52,1.08,339.8,0.82
2,LU,In-Order,1.02,360.8,0.79,0,0.51,1.02,370.3,0.79
3,LU,In-Order,0.97,336.0,0.8,0,0.49,1.0,335.3,0.81
4,LU,In-Order,0.97,351.9,0.78,0,0.48,0.93,349.2,0.77
5,LU,In-Order,1.12,359.6,0.78,0,0.56,1.12,357.3,0.8
6,LU,In-Order,0.96,345.8,0.82,0,0.48,0.93,334.0,0.82
7,LU,In-Order,0.98,339.0,0.79,0,0.49,0.99,337.8,0.79
8,LU,In-Order,1.04,338.8,0.83,0,0.52,1.08,339.7,0.84
9,LU,In-Order,1.04,353.0,0.82,0,0.52,1.05,350.1,0.83
10,LU,In-Order,0.96,338.9,0.8,0,0.48,0.94,326.8,0.79
1,LU,In-Order,1.0,359.7,0.77,0,0.5,0.97,358.4,0.76
2,LU,In-Order,1.06,361.4,0.78,0,0.53,1.1,361.3,0.79
3,LU,In-Order,0.95,363.1,0.79,0,0.48,1.01,362.1,0.79
4,LU,In-Order,1.01,345.7,0.82,0,0.5,1.02,347.0,0.82
5,LU,In-Order,1.04,355.4,0.79,0,0.52,1.09,356.2,0.8
6,LU,In-Order,0.98,356.0,0.78,0,0.49,0.94,365.5,0.77
7,LU,In-Order,1.01,363.3,0.8,0,0.51,1.08,364.6,0.79
8,LU,In-Order,1.01,335.9,0.79,0,0.5,0.98,339.4,0.79
9,LU,In-Order,0.95,347.6,0.79,0,0.48,0.97,343.3,0.8
10,LU,In-Order,0.89,339.7,0.83,0,0.44,0.86,340.9,0.83
1,LU,In-Order,0.98,356.8,0.79,0,0.49,0.97,349.4,0.78
2,LU,In-Order,0.96,351.7,0.83,0,0.48,1.0,341.5,0.83
3,LU,In-Order,1.08,338.9,0.81,0,0.54,1.04,335.3,0.79
4,LU,In-Order,0.91,337.0,0.82,0,0.46,0.92,345.7,0.83
5,LU,In-Order,1.0,359.4,0.82,0,0.5,1.0,364.5,0.82
6,LU,In-Order,1.02,345.1,0.8,0,0.51,1.02,337.3,0.79
7,LU,In-Order,1.0,342.0,0.8,0,0.5,0.98,341.7,0.78
8,LU,In-Order,1.06,358.3,0.8,0,0.53,1.1,368.6,0.79
9,LU,In-Order,1.05,339.4,0.77,0,0.52,1.05,339.7,0.77
10,LU,In-Order,1.15,345.9,0.8,0,0.57,1.17,348.4,0.8
1,LU,In-Order,1.06,363.9,0.79,0,0.53,1.04,364.8,0.78
2,LU,In-Order,0.94,358.3,0.81,0,0.47,0.95,366.9,0.84
3,LU,In-Order,1.05,339.2,0.77,0,0.53,1.04,348.8,0.76
4,LU,In-Order,1.09,344.1,0.8,0,0.55,1.1,348.8,0.8
5,LU,In-Order,1.01,353.7,0.81,0,0.51,1.04,369.7,0.82
6,LU,In-Order,0.94,362.7,0.79,0,0.47,0.91,366.1,0.8
7,LU,In-Order,0.91,346.4,0.8,0,0.46,0.97,352.0,0.81
8,LU,In-Order,0.94,350.7,0.78,0,0.47,0.95,350.2,0.76
9,LU,In-Order,0.91,338.4,0.8,0,0.46,0.96,341.0,0.8
10,LU,In-Order,1.06,343.3,0.79,0,0.53,1.02,351.4,0.78
1,LU,In-Order,1.03,359.2,0.78,0,0.51,1.04,359.5,0.76
2,LU,In-Order,1.11,337.3,0.82,0,0.56,1.07,349.2,0.83
3,LU,In-Order,1.09,345.5,0.82,0,0.54,1.1,345.4,0.82
4,LU,In-Order,1.05,342.3,0.81,0,0.52,1.02,341.0,0.81
5,LU,In-Order,1.01,351.3,0.8,0,0.51,1.07,349.9,0.8
6,LU,In-Order,1.07,364.1,0.81,0,0.54,1.05,363.8,0.82
7,LU,In-Order,1.01,355.3,0.75,0,0.51,1.01,359.7,0.76
8,LU,In-Order,0.96,340.6,0.79,0,0.48,0.89,342.0,0.78
9,LU,In-Order,1.04,355.8,0.79,0,0.52,1.02,353.1,0.79
10,LU,In-Order,0.98,340.2,0.79,0,0.49,1.0,338.3,0.8
1,LU,In-Order,1.01,360.2,0.8,0,0.5,0.97,372.0,0.82
2,LU,In-Order,1.04,347.5,0.81,0,0.52,1.02,364.9,0.8
3,LU,In-Order,1.01,351.9,0.79,0,0.51,1.03,357.1,0.81
4,LU,In-Order,1.01,336.6,0.8,0,0.5,0.99,338.8,0.78
5,LU,In-Order,1.06,356.7,0.81,0,0.53,1.05,359.0,0.81
6,LU,In-Order,0.95,361.2,0.78,0,0.48,0.99,369.4,0.77
7,LU,In-Order,1.03,361.3,0.79,0,0.52,1.0,364.5,0.79
8,LU,In-Order,1.06,340.7,0.77,0,0.53,1.07,336.2,0.77
9,LU,In-Order,1.05,339.0,0.81,0,0.53,1.03,330.3,0.81
10,LU,In-Order,0.98,361.6,0.77,0,0.49,0.97,355.1,0.76
1,LU,In-Order,0.96,340.3,0.79,0,0.48,0.96,341.9,0.78
2,LU,In-Order,0.99,355.6,0.79,0,0.49,0.99,361.7,0.8
3,LU,In-Order,1.02,350.5,0.79,0,0.51,1.01,354.4,0.78
4,LU,In-Order,1.07,348.1,0.79,0,0.53,1.07,352.9,0.79
5,LU,In-Order,0.96,353.3,0.79,0,0.48,0.9,363.6,0.79
6,LU,In-Order,0.91,357.8,0.8,0,0.45,0.88,349.6,0.83
7,LU,In-Order,0.91,337.1,0.79,0,0.46,0.95,326.3,0.76
8,LU,In-Order,0.99,343.8,0.79,0,0.5,0.98,343.9,0.79
9,LU,In-Order,0.98,346.8,0.78,0,0.49,0.99,356.0,0.79
10,LU,In-Order,1.05,340.2,0.86,0,0.53,1.06,340.0,0.85
1,LU,In-Order,1.04,359.6,0.78,0,0.52,1.11,354.5,0.8
2,LU,In-Order,0.99,337.5,0.79,0,0.49,1.01,337.6,0.79
3,LU,In-Order,0.97,359.0,0.79,0,0.49,0.98,351.6,0.8
4,LU,In-Order,0.9,360.7,0.79,0,0.45,0.88,369.2,0.8
5,LU,In-Order,1.01,356.3,0.81,0,0.51,1.05,371.8,0.81
6,LU,In-Order,1.12,344.3,0.78,0,0.56,1.07,345.9,0.78
7,LU,In-Order,0.99,341.9,0.81,0,0.49,0.99,335.3,0.81
8,LU,In-Order,1.07,350.9,0.82,0,0.54,1.03,360.0,0.83
9,LU,In-Order,0.94,362.3,0.81,0,0.47,0.91,361.3,0.8
10,LU,In-Order,1.0,351.2,0.81,0,0.5,1.0,350.1,0.81
1,LU,In-Order,1.03,362.9,0.81,0,0.51,1.0,366.8,0.81
2,LU,In-Order,1.11,340.4,0.82,0,0.56,1.14,333.3,0.81
3,LU,In-Order,0.93,363.1,0.82,0,0.47,0.92,359.2,0.81
4,LU,In-Order,1.08,354.1,0.83,0,0.54,1.07,355.8,0.83
5,LU,In-Order,1.06,360.6,0.74,0,0.53,1.08,348.5,0.75
6,LU,In-Order,0.91,340.4,0.79,0,0.45,0.87,330.0,0.79
7,LU,In-Order,0.96,359.0,0.79,0,0.48,0.98,361.7,0.79
8,LU,In-Order,1.06,362.2,0.77,0,0.53,1.08,366.4,0.77
9,LU,In-Order,1.03,339.3,0.81,0,0.51,1.06,333.3,0.8
10,LU,In-Order,0.95,340.9,0.82,0,0.48,0.97,326.5,0.82
1,LU,In-Order,1.01,345.2,0.8,0,0.5,1.01,336.2,0.79
2,LU,In-Order,0.95,362.4,0.79,0,0.47,0.99,350.5,0.79
3,LU,In-Order,1.08,353.9,0.85,0,0.54,1.01,363.1,0.83
4,LU,In-Order,0.98,340.9,0.75,0,0.49,1.01,327.6,0.76
5,LU,In-Order,0.99,341.8,0.78,0,0.5,1.02,342.5,0.77
6,LU,In-Order,1.0,340.5,0.79,0,0.5,1.02,347.1,0.81
7,LU,In-Order,0.96,355.6,0.83,0,0.48,0.96,355.9,0.83
8,LU,In-Order,1.03,336.9,0.79,0,0.52,1.0,350.7,0.81
9,LU,In-Order,1.03,364.5,0.79,0,0.51,0.96,346.4,0.79
10,LU,In-Order,0.98,341.3,0.78,0,0.49,0.96,345.2,0.79
1,LU,In-Order,1.01,348.3,0.77,0,0.5,1.06,360.9,0.75
2,LU,In-Order,0.93,343.2,0.79,0,0.47,0.85,335.6,0.78
3,LU,In-Order,0.91,359.2,0.8,0,0.46,0.89,381.1,0.8
4,LU,In-Order,1.05,357.0,0.8,0,0.52,1.0,355.7,0.76
5,LU,In-Order,0.97,340.0,0.81,0,0.48,0.96,340.4,0.82
6,LU,In-Order,0.93,351.2,0.79,0,0.46,0.91,350.3,0.79
7,LU,In-Order,1.03,349.0,0.81,0,0.51,1.04,358.4,0.81
8,LU,In-Order,1.04,340.7,0.77,0,0.52,1.04,336.9,0.79
9,LU,In-Order,0.91,343.7,0.83,0,0.45,0.92,331.5,0.82
10,LU,In-Order,1.01,341.8,0.77,0,0.51,1.07,336.3,0.77
1,LU,In-Order,1.02,351.4,0.8,0,0.51,1.01,346.3,0.79
2,LU,In-Order,0.86,354.9,0.79,0,0.43,0.89,350.0,0.79
3,LU,In-Order,1.02,339.2,0.78,0,0.51,1.03,350.3,0.79
4,LU,In-Order,1.07,348.0,0.8,0,0.53,1.13,352.8,0.8
5,LU,In-Order,1.01,359.4,0.84,0,0.51,1.02,352.0,0.85
6,LU,In-Order,1.04,353.7,0.79,0,0.52,1.01,342.8,0.78
7,LU,In-Order,0.97,352.1,0.78,0,0.48,0.96,363.4,0.78
8,LU,In-Order,1.0,346.8,0.81,0,0.5,0.98,346.3,0.8
9,LU,In-Order,0.95,353.4,0.81,0,0.48,0.96,342.7,0.8
10,LU,In-Order,0.98,352.4,0.79,0,0.49,0.93,350.4,0.79
1,LU,In-Order,0.92,347.4,0.79,0,0.46,0.95,355.0,0.79
2,LU,In-Order,0.91,355.9,0.83,0,0.46,0.89,354.6,0.83
3,LU,In-Order,1.03,338.9,0.82,0,0.51,1.04,338.5,0.83
4,LU,In-Order,1.08,340.3,0.79,0,0.54,1.08,328.5,0.78
5,LU,In-Order,0.98,338.2,0.8,0,0.49,0.98,337.2,0.79
6,LU,In-Order,1.04,349.6,0.79,0,0.52,1.03,356.8,0.8
7,LU,In-Order,1.0,357.5,0.8,0,0.5,0.98,367.9,0.8
8,LU,In-Order,1.08,349.1,0.79,0,0.54,1.09,347.0,0.79
9,LU,In-Order,1.01,363.8,0.81,0,0.5,0.99,365.9,0.8
10,LU,In-Order,0.99,348.4,0.83,0,0.49,1.0,350.9,0.84
1,LU,In-Order,0.99,337.7,0.81,0,0.49,1.0,341.7,0.81
2,LU,In-Order,0.96,337.9,0.8,0,0.48,0.96,338.2,0.81
3,LU,In-Order,1.02,347.4,0.78,0,0.51,1.0,334.5,0.76
4,LU,In-Order,0.97,364.6,0.82,0,0.48,0.95,373.2,0.81
5,LU,In-Order,1.03,344.5,0.76,0,0.51,1.05,350.8,0.75
6,LU,In-Order,1.01,335.1,0.8,0,0.51,1.0,328.8,0.8
7,LU,In-Order,0.9,339.5,0.82,0,0.45,0.88,345.5,0.8
8,LU,In-Order,1.0,364.6,0.8,0,0.5,0.99,353.4,0.8
9,LU,In-Order,0.88,338.6,0.79,0,0.44,0.87,338.9,0.79
10,LU,In-Order,0.94,350.4,0.8,0,0.47,0.96,347.6,0.81
1,LU,In-Order,0.97,360.1,0.81,0,0.48,0.93,350.1,0.81
2,LU,In-Order,0.99,360.9,0.79,0,0.5,1.0,366.7,0.8
3,LU,In-Order,1.03,339.8,0.83,0,0.51,1.0,336.9,0.83
4,LU,In-Order,1.01,338.8,0.8,0,0.5,0.96,337.2,0.81
5,LU,In-Order,1.04,340.9,0.78,0,0.52,1.06,344.5,0.76
6,LU,In-Order,0.98,354.8,0.83,0,0.49,0.97,344.6,0.82
