Iteration,Algorithm,Core Type,IPC,Memory Usage (MB),Cache Hit Rate,Action,Reward,Next IPC,Next Memory Usage (MB),Next Cache Hit Rate
1,FFT,In-Order,1.24,322.1,0.85,0,0.62,1.27,318.0,0.84
2,FFT,In-Order,1.19,323.0,0.85,0,0.59,1.18,309.5,0.85
3,FFT,In-Order,1.19,324.3,0.86,0,0.59,1.16,326.9,0.85
4,FFT,In-Order,1.19,348.8,0.88,0,0.6,1.19,348.9,0.88
5,FFT,In-Order,1.21,321.1,0.85,0,0.6,1.27,315.6,0.86
6,FFT,In-Order,1.07,322.9,0.86,0,0.53,1.02,321.2,0.86
7,FFT,In-Order,1.13,325.2,0.84,0,0.56,1.12,324.8,0.84
8,FFT,In-Order,1.16,325.4,0.86,0,0.58,1.13,322.8,0.86
9,FFT,In-Order,1.14,320.5,0.86,0,0.57,1.16,315.8,0.86
10,FFT,In-Order,1.21,322.5,0.84,0,0.61,1.23,325.5,0.84
1,FFT,In-Order,1.22,322.7,0.84,0,0.61,1.19,318.7,0.84
2,FFT,In-Order,1.11,321.6,0.84,0,0.56,1.16,311.2,0.85
3,FFT,In-Order,1.21,327.2,0.85,0,0.61,1.23,327.1,0.85
4,FFT,In-Order,1.27,320.1,0.85,0,0.63,1.22,313.4,0.86
5,FFT,In-Order,1.21,340.8,0.85,0,0.6,1.18,341.3,0.84
6,FFT,In-Order,1.23,324.0,0.86,0,0.61,1.24,325.3,0.87
7,FFT,In-Order,1.28,321.0,0.86,0,0.64,1.28,325.0,0.86
8,FFT,In-Order,1.08,320.2,0.86,0,0.54,1.06,321.2,0.85
9,FFT,In-Order,1.17,321.7,0.84,0,0.58,1.2,317.3,0.84
10,FFT,In-Order,1.11,323.2,0.85,0,0.56,1.12,318.9,0.86
1,FFT,In-Order,1.17,323.4,0.85,0,0.59,1.13,328.4,0.85
2,FFT,In-Order,1.21,320.4,0.85,0,0.61,1.26,317.3,0.86
3,FFT,In-Order,1.24,328.0,0.84,0,0.62,1.21,332.7,0.84
4,FFT,In-Order,1.26,320.5,0.85,0,0.63,1.27,321.4,0.84
5,FFT,In-Order,1.22,328.2,0.86,0,0.61,1.25,333.5,0.85
6,FFT,In-Order,1.23,323.4,0.85,0,0.62,1.24,324.7,0.85
7,FFT,In-Order,1.15,332.9,0.86,0,0.57,1.17,332.5,0.86
8,FFT,In-Order,1.24,328.8,0.85,0,0.62,1.23,326.7,0.85
9,FFT,In-Order,1.21,322.1,0.85,0,0.61,1.2,322.8,0.85
10,FFT,In-Order,1.1,327.8,0.86,0,0.55,1.07,329.2,0.86
1,FFT,In-Order,1.2,334.0,0.86,0,0.6,1.23,330.6,0.86
2,FFT,In-Order,1.08,324.9,0.85,0,0.54,1.11,332.8,0.84
3,FFT,In-Order,1.18,322.2,0.85,0,0.59,1.15,316.9,0.84
4,FFT,In-Order,1.14,325.7,0.86,0,0.57,1.13,325.4,0.86
5,FFT,In-Order,1.14,343.6,0.85,0,0.57,1.17,351.8,0.85
6,FFT,In-Order,1.2,321.0,0.84,0,0.6,1.19,317.8,0.85
7,FFT,In-Order,1.27,326.0,0.84,0,0.64,1.28,324.1,0.84
8,FFT,In-Order,1.16,323.8,0.87,0,0.58,1.21,320.8,0.86
9,FFT,In-Order,1.21,325.3,0.85,0,0.61,1.19,325.8,0.84
10,FFT,In-Order,1.14,321.5,0.85,0,0.57,1.18,318.9,0.85
1,FFT,In-Order,1.2,323.3,0.86,0,0.6,1.23,325.0,0.87
2,FFT,In-Order,1.14,324.2,0.86,0,0.57,1.13,327.1,0.86
3,FFT,In-Order,1.24,326.0,0.86,0,0.62,1.27,333.6,0.85
4,FFT,In-Order,1.22,330.6,0.85,0,0.61,1.23,336.7,0.84
5,FFT,In-Order,1.22,328.9,0.85,0,0.61,1.21,328.9,0.85
6,FFT,In-Order,1.13,339.9,0.84,0,0.56,1.14,343.1,0.85
7,FFT,In-Order,1.18,327.2,0.85,0,0.59,1.2,327.4,0.86
8,FFT,In-Order,1.13,333.4,0.85,0,0.56,1.13,338.8,0.84
9,FFT,In-Order,1.21,322.1,0.84,0,0.6,1.19,322.8,0.84
10,FFT,In-Order,1.17,320.1,0.87,0,0.59,1.17,317.3,0.88
1,FFT,In-Order,1.13,320.9,0.83,0,0.56,1.14,325.8,0.83
2,FFT,In-Order,1.27,321.6,0.86,0,0.63,1.26,330.8,0.85
3,FFT,In-Order,1.12,340.7,0.84,0,0.56,1.15,339.6,0.84
4,FFT,In-Order,1.17,320.2,0.84,0,0.58,1.2,319.7,0.84
5,FFT,In-Order,1.22,327.4,0.85,0,0.61,1.23,330.4,0.85
6,FFT,In-Order,1.22,320.2,0.85,0,0.61,1.23,319.7,0.86
7,FFT,In-Order,1.17,321.1,0.87,0,0.58,1.15,321.0,0.86
8,FFT,In-Order,1.23,328.0,0.85,0,0.61,1.18,325.7,0.83
9,FFT,In-Order,1.12,325.9,0.86,0,0.56,1.13,328.3,0.86
10,FFT,In-Order,1.17,320.6,0.85,0,0.59,1.14,328.1,0.85
1,FFT,In-Order,1.19,322.0,0.85,0,0.59,1.17,322.2,0.85
2,FFT,In-Order,1.2,320.4,0.84,0,0.6,1.19,329.4,0.84
3,FFT,In-Order,1.17,320.9,0.86,0,0.59,1.18,316.9,0.86
4,FFT,In-Order,1.22,330.2,0.86,0,0.61,1.23,335.5,0.86
5,FFT,In-Order,1.27,323.0,0.85,0,0.63,1.28,333.9,0.85
6,FFT,In-Order,1.21,320.3,0.84,0,0.61,1.2,318.7,0.85
7,FFT,In-Order,1.23,325.4,0.84,0,0.61,1.3,324.9,0.84
8,FFT,In-Order,1.24,348.0,0.85,0,0.62,1.24,351.1,0.85
9,FFT,In-Order,1.19,330.1,0.83,0,0.59,1.21,334.5,0.82
10,FFT,In-Order,1.15,322.3,0.85,0,0.58,1.18,330.7,0.85
1,FFT,In-Order,1.25,331.5,0.85,0,0.63,1.21,328.7,0.85
2,FFT,In-Order,1.21,321.2,0.86,0,0.6,1.24,318.1,0.87
3,FFT,In-Order,1.22,321.0,0.85,0,0.61,1.23,319.5,0.84
4,FFT,In-Order,1.2,330.2,0.86,0,0.6,1.13,336.0,0.85
5,FFT,In-Order,1.18,337.4,0.84,0,0.59,1.2,331.2,0.84
6,FFT,In-Order,1.16,320.7,0.85,0,0.58,1.18,321.1,0.84
7,FFT,In-Order,1.25,322.8,0.85,0,0.62,1.27,315.9,0.84
8,FFT,In-Order,1.23,320.9,0.85,0,0.61,1.28,322.8,0.85
9,FFT,In-Order,1.25,321.2,0.85,0,0.63,1.24,318.4,0.85
10,FFT,In-Order,1.17,333.8,0.86,0,0.58,1.16,334.2,0.85
1,FFT,In-Order,1.25,323.0,0.85,0,0.62,1.19,337.7,0.85
2,FFT,In-Order,1.22,320.2,0.86,0,0.61,1.19,323.2,0.86
3,FFT,In-Order,1.17,330.1,0.87,0,0.58,1.18,325.5,0.87
4,FFT,In-Order,1.3,324.8,0.85,0,0.65,1.33,330.3,0.86
5,FFT,In-Order,1.23,322.5,0.84,0,0.62,1.21,324.0,0.84
6,FFT,In-Order,1.19,327.6,0.87,0,0.59,1.2,326.4,0.87
7,FFT,In-Order,1.26,328.2,0.84,0,0.63,1.28,331.4,0.84
8,FFT,In-Order,1.19,320.6,0.85,0,0.59,1.19,315.2,0.84
9,FFT,In-Order,1.28,322.5,0.84,0,0.64,1.24,320.9,0.84
10,FFT,In-Order,1.17,320.4,0.87,0,0.58,1.2,316.9,0.88
1,FFT,In-Order,1.25,323.7,0.85,0,0.62,1.24,323.6,0.84
2,FFT,In-Order,1.12,322.5,0.86,0,0.56,1.18,329.5,0.86
3,FFT,In-Order,1.23,335.6,0.86,0,0.61,1.22,337.5,0.86
4,FFT,In-Order,1.23,320.5,0.83,0,0.61,1.23,315.6,0.83
5,FFT,In-Order,1.21,321.9,0.86,0,0.6,1.25,325.7,0.86
6,FFT,In-Order,1.12,320.6,0.86,0,0.56,1.1,321.2,0.85
7,FFT,In-Order,1.17,324.2,0.85,0,0.58,1.2,323.8,0.85
8,FFT,In-Order,1.2,325.0,0.85,0,0.6,1.22,325.3,0.85
9,FFT,In-Order,1.16,324.7,0.84,0,0.58,1.19,323.2,0.84
10,FFT,In-Order,1.24,321.4,0.84,0,0.62,1.26,319.9,0.85
1,FFT,In-Order,1.17,324.9,0.85,0,0.58,1.22,318.7,0.86
2,FFT,In-Order,1.16,329.9,0.85,0,0.58,1.16,330.2,0.85
3,FFT,In-Order,1.25,321.3,0.87,0,0.62,1.28,312.9,0.87
4,FFT,In-Order,1.2,320.7,0.84,0,0.6,1.24,329.1,0.84
5,FFT,In-Order,1.23,321.6,0.87,0,0.61,1.2,318.0,0.86
6,FFT,In-Order,1.19,323.7,0.85,0,0.6,1.15,325.3,0.86
7,FFT,In-Order,1.1,322.0,0.85,0,0.55,1.12,331.8,0.85
8,FFT,In-Order,1.29,320.3,0.86,0,0.64,1.29,323.0,0.85
9,FFT,In-Order,1.21,320.5,0.84,0,0.6,1.25,319.0,0.84
10,FFT,In-Order,1.14,327.9,0.84,0,0.57,1.13,334.0,0.84
1,FFT,In-Order,1.32,320.5,0.85,0,0.66,1.3,322.3,0.86
2,FFT,In-Order,1.23,326.2,0.84,0,0.61,1.2,317.0,0.84
3,FFT,In-Order,1.14,324.6,0.83,0,0.57,1.17,324.7,0.83
4,FFT,In-Order,1.2,329.5,0.85,0,0.6,1.2,334.1,0.85
5,FFT,In-Order,1.21,327.8,0.85,0,0.61,1.2,326.6,0.85
6,FFT,In-Order,1.18,325.9,0.85,0,0.59,1.18,331.4,0.85
7,FFT,In-Order,1.2,324.7,0.86,0,0.6,1.18,327.3,0.85
8,FFT,In-Order,1.2,320.8,0.84,0,0.6,1.2,321.1,0.85
9,FFT,In-Order,1.2,321.9,0.85,0,0.6,1.12,323.3,0.86
10,FFT,In-Order,1.16,321.2,0.87,0,0.58,1.19,320.1,0.87
1,FFT,In-Order,1.21,340.6,0.85,0,0.6,1.19,338.5,0.84
2,FFT,In-Order,1.16,320.5,0.85,0,0.58,1.17,321.3,0.85
3,FFT,In-Order,1.22,321.8,0.86,0,0.61,1.23,333.3,0.86
4,FFT,In-Order,1.19,330.9,0.84,0,0.59,1.18,325.0,0.83
5,FFT,In-Order,1.23,327.3,0.86,0,0.61,1.23,326.5,0.86
6,FFT,In-Order,1.2,321.5,0.84,0,0.6,1.21,314.1,0.85
7,FFT,In-Order,1.2,320.6,0.86,0,0.6,1.15,330.9,0.85
8,FFT,In-Order,1.2,322.0,0.85,0,0.6,1.24,315.1,0.84
9,FFT,In-Order,1.27,331.1,0.85,0,0.64,1.3,325.5,0.84
10,FFT,In-Order,1.18,329.2,0.87,0,0.59,1.16,332.9,0.87
1,FFT,In-Order,1.27,320.3,0.87,0,0.63,1.24,320.7,0.87
2,FFT,In-Order,1.29,325.7,0.85,0,0.64,1.29,319.0,0.84
3,FFT,In-Order,1.26,325.4,0.84,0,0.63,1.25,323.2,0.84
4,FFT,In-Order,1.16,327.2,0.86,0,0.58,1.15,320.1,0.87
5,FFT,In-Order,1.18,324.8,0.85,0,0.59,1.2,330.9,0.84
6,FFT,In-Order,1.2,337.3,0.84,0,0.6,1.23,337.6,0.84
7,FFT,In-Order,1.28,328.4,0.86,0,0.64,1.26,330.1,0.86
8,FFT,In-Order,1.19,321.3,0.84,0,0.59,1.14,331.6,0.83
9,FFT,In-Order,1.19,330.9,0.85,0,0.59,1.16,335.5,0.85
10,FFT,In-Order,1.21,329.4,0.85,0,0.61,1.22,328.1,0.86
1,FFT,In-Order,1.22,327.5,0.86,0,0.61,1.2,330.0,0.86
2,FFT,In-Order,1.2,333.9,0.85,0,0.6,1.19,331.2,0.86
3,FFT,In-Order,1.26,326.6,0.85,0,0.63,1.32,332.0,0.84
4,FFT,In-Order,1.2,324.2,0.86,0,0.6,1.21,330.6,0.86
5,FFT,In-Order,1.19,320.0,0.84,0,0.6,1.21,315.4,0.84
6,FFT,In-Order,1.18,321.1,0.87,0,0.59,1.19,315.2,0.87
7,FFT,In-Order,1.26,324.0,0.84,0,0.63,1.22,318.5,0.84
8,FFT,In-Order,1.16,330.5,0.87,0,0.58,1.15,331.6,0.87
9,FFT,In-Order,1.13,325.9,0.83,0,0.56,1.16,323.1,0.83
10,FFT,In-Order,1.16,323.3,0.84,0,0.58,1.16,331.0,0.85
1,FFT,In-Order,1.3,325.6,0.86,0,0.65,1.29,329.8,0.86
2,FFT,In-Order,1.27,320.4,0.85,0,0.63,1.25,323.9,0.85
3,FFT,In-Order,1.2,322.9,0.86,0,0.6,1.19,318.5,0.86
4,FFT,In-Order,1.19,321.2,0.87,0,0.6,1.21,316.1,0.87
5,FFT,In-Order,1.26,320.6,0.86,0,0.63,1.29,319.1,0.86
6,FFT,In-Order,1.1,324.4,0.85,0,0.55,1.08,325.1,0.84
7,FFT,In-Order,1.22,321.5,0.85,0,0.61,1.24,320.5,0.85
8,FFT,In-Order,1.22,328.1,0.84,0,0.61,1.15,328.0,0.85
9,FFT,In-Order,1.28,327.3,0.85,0,0.64,1.29,321.8,0.85
10,FFT,In-Order,1.17,325.3,0.85,0,0.59,1.17,321.0,0.84
1,FFT,In-Order,1.19,321.6,0.85,0,0.59,1.18,329.4,0.85
2,FFT,In-Order,1.2,320.3,0.83,0,0.6,1.22,324.0,0.82
3,FFT,In-Order,1.2,333.8,0.86,0,0.6,1.2,330.8,0.86
4,FFT,In-Order,1.15,339.9,0.86,0,0.58,1.12,341.4,0.85
5,FFT,In-Order,1.22,324.7,0.85,0,0.61,1.2,323.1,0.85
6,FFT,In-Order,1.17,321.4,0.85,0,0.59,1.2,316.4,0.85
7,FFT,In-Order,1.22,320.4,0.86,0,0.61,1.23,329.4,0.86
8,FFT,In-Order,1.16,323.3,0.85,0,0.58,1.18,311.5,0.85
9,FFT,In-Order,1.23,320.3,0.87,0,0.62,1.27,320.6,0.87
10,FFT,In-Order,1.2,327.7,0.84,0,0.6,1.18,325.3,0.84
1,FFT,In-Order,1.21,321.1,0.87,0,0.6,1.2,323.7,0.87
2,FFT,In-Order,1.2,327.4,0.86,0,0.6,1.2,326.5,0.87
3,FFT,In-Order,1.21,328.6,0.84,0,0.61,1.25,325.8,0.83
4,FFT,In-Order,1.21,327.9,0.87,0,0.61,1.24,325.6,0.88
5,FFT,In-Order,1.2,320.9,0.86,0,0.6,1.23,324.1,0.86
6,FFT,In-Order,1.18,331.8,0.85,0,0.59,1.17,327.1,0.85
7,FFT,In-Order,1.3,320.4,0.84,0,0.65,1.31,321.6,0.84
8,FFT,In-Order,1.2,322.7,0.84,0,0.6,1.21,321.8,0.84
9,FFT,In-Order,1.26,326.4,0.88,0,0.63,1.24,329.3,0.88
10,FFT,In-Order,1.22,323.9,0.84,0,0.61,1.24,330.5,0.84
1,FFT,In-Order,1.09,323.4,0.84,0,0.55,1.08,328.4,0.85
2,FFT,In-Order,1.16,328.7,0.85,0,0.58,1.15,326.8,0.84
3,FFT,In-Order,1.28,325.3,0.85,0,0.64,1.24,331.5,0.85
4,FFT,In-Order,1.26,339.3,0.84,0,0.63,1.27,333.4,0.85
5,FFT,In-Order,1.18,321.0,0.85,0,0.59,1.17,323.6,0.85
6,FFT,In-Order,1.24,325.1,0.85,0,0.62,1.29,320.1,0.85
7,FFT,In-Order,1.23,330.2,0.85,0,0.61,1.24,333.6,0.85
8,FFT,In-Order,1.24,331.9,0.86,0,0.62,1.29,331.2,0.85
9,FFT,In-Order,1.26,324.0,0.85,0,0.63,1.26,323.6,0.85
10,FFT,In-Order,1.15,320.2,0.85,0,0.58,1.16,323.8,0.85
1,FFT,In-Order,1.23,327.0,0.85,0,0.61,1.25,324.4,0.85
2,FFT,In-Order,1.18,320.6,0.85,0,0.59,1.23,319.5,0.85
3,FFT,In-Order,1.2,321.8,0.85,0,0.6,1.16,325.7,0.85
4,FFT,In-Order,1.16,320.2,0.86,0,0.58,1.2,319.7,0.86
5,FFT,In-Order,1.2,320.3,0.86,0,0.6,1.21,326.1,0.86
6,FFT,In-Order,1.23,328.8,0.85,0,0.62,1.26,315.3,0.86
7,FFT,In-Order,1.17,327.4,0.83,0,0.58,1.19,328.6,0.84
8,FFT,In-Order,1.14,325.0,0.87,0,0.57,1.16,325.4,0.86
9,FFT,In-Order,1.19,323.3,0.84,0,0.59,1.2,324.1,0.85
10,FFT,In-Order,1.23,323.5,0.84,0,0.62,1.24,319.8,0.84
1,FFT,In-Order,1.17,320.8,0.85,0,0.58,1.16,310.4,0.85
2,FFT,In-Order,1.14,321.6,0.85,0,0.57,1.1,320.1,0.85
3,FFT,In-Order,1.22,323.6,0.86,0,0.61,1.23,322.7,0.86
4,FFT,In-Order,1.19,324.8,0.85,0,0.6,1.17,330.2,0.85
5,FFT,In-Order,1.3,344.7,0.85,0,0.65,1.29,341.4,0.84
6,FFT,In-Order,1.11,322.6,0.85,0,0.55,1.12,314.7,0.86
7,FFT,In-Order,1.18,321.5,0.85,0,0.59,1.18,318.4,0.85
8,FFT,In-Order,1.22,322.4,0.83,0,0.61,1.2,321.4,0.82
9,FFT,In-Order,1.19,320.4,0.85,0,0.6,1.21,319.6,0.86
10,FFT,In-Order,1.26,322.2,0.85,0,0.63,1.26,325.8,0.85
1,FFT,In-Order,1.25,326.4,0.85,0,0.62,1.25,322.7,0.84
2,FFT,In-Order,1.17,323.3,0.84,0,0.58,1.17,324.1,0.84
3,FFT,In-Order,1.26,325.3,0.84,0,0.63,1.28,329.5,0.85
4,FFT,In-Order,1.16,321.6,0.86,0,0.58,1.15,328.6,0.86
5,FFT,In-Order,1.21,332.4,0.85,0,0.61,1.17,329.0,0.84
6,FFT,In-Order,1.26,324.6,0.86,0,0.63,1.29,319.1,0.86
7,FFT,In-Order,1.14,331.0,0.85,0,0.57,1.12,328.9,0.85
8,FFT,In-Order,1.19,325.1,0.84,0,0.6,1.19,316.6,0.84
9,FFT,In-Order,1.25,322.3,0.87,0,0.62,1.3,320.0,0.87
10,FFT,In-Order,1.14,320.1,0.86,0,0.57,1.14,318.0,0.85
1,FFT,In-Order,1.2,320.9,0.85,0,0.6,1.15,319.1,0.85
2,FFT,In-Order,1.21,331.0,0.86,0,0.61,1.22,330.4,0.86
3,FFT,In-Order,1.12,323.9,0.84,0,0.56,1.13,318.0,0.85
4,FFT,In-Order,1.21,329.0,0.83,0,0.61,1.2,325.0,0.83
5,FFT,In-Order,1.19,321.6,0.85,0,0.6,1.19,324.0,0.85
6,FFT,In-Order,1.11,320.7,0.87,0,0.55,1.09,308.1,0.87
7,FFT,In-Order,1.26,324.8,0.87,0,0.63,1.24,318.5,0.87
