Iteration,Algorithm,Core_Type,IPC,Memory_Usage,Cache_Hit_Rate
1,Convolution,In-Order,1.02,397.0,0.71
1,LU,In-Order,1.11,498.5,0.71
1,Convolution,In-Order,1.21,513.3,0.69
1,Matrix_Multiplication,Out-of-Order,1.08,352.4,0.79
1,LU,In-Order,1.06,449.2,0.72
1,Radix,In-Order,0.95,503.3,0.73
1,LU,In-Order,0.86,420.2,0.7
1,LU,Out-of-Order,1.1,559.7,0.83
1,Convolution,Out-of-Order,1.16,596.4,0.82
1,FFT,In-Order,0.98,325.3,0.69
1,Radix,In-Order,0.97,384.4,0.71
1,Convolution,Out-of-Order,1.48,326.4,0.81
1,Convolution,In-Order,0.9,426.8,0.73
1,Convolution,Out-of-Order,1.34,590.2,0.81
1,LU,In-Order,1.44,431.7,0.69
1,Radix,Out-of-Order,1.27,412.1,0.81
1,Matrix_Multiplication,Out-of-Order,1.09,339.6,0.82
1,LU,In-Order,0.93,376.8,0.71
1,Convolution,In-Order,1.21,577.1,0.72
1,Convolution,Out-of-Order,1.76,541.5,0.82
1,FFT,Out-of-Order,1.6,553.5,0.8
1,Convolution,In-Order,1.16,499.5,0.72
1,Convolution,Out-of-Order,1.57,409.0,0.82
1,Matrix_Multiplication,In-Order,1.34,358.7,0.72
1,Convolution,In-Order,1.24,429.5,0.71
1,LU,Out-of-Order,1.49,365.5,0.79
1,Radix,In-Order,1.07,468.7,0.73
1,LU,Out-of-Order,1.59,475.1,0.81
1,Convolution,In-Order,1.18,417.7,0.72
1,Convolution,In-Order,1.36,569.1,0.71
1,FFT,In-Order,1.02,359.8,0.7
1,Convolution,Out-of-Order,1.06,472.2,0.81
1,Radix,Out-of-Order,1.31,560.5,0.83
1,Convolution,Out-of-Order,1.34,430.2,0.82
1,FFT,Out-of-Order,1.37,519.9,0.8
1,Convolution,Out-of-Order,1.09,444.4,0.81
1,Radix,Out-of-Order,1.55,526.3,0.8
1,Matrix_Multiplication,Out-of-Order,1.46,313.8,0.79
1,Matrix_Multiplication,Out-of-Order,1.47,426.3,0.82
1,Matrix_Multiplication,In-Order,1.16,415.5,0.72
1,Convolution,In-Order,0.94,300.4,0.7
1,Matrix_Multiplication,Out-of-Order,1.75,536.0,0.81
1,LU,Out-of-Order,1.76,565.5,0.82
1,Convolution,Out-of-Order,1.3,348.8,0.8
1,FFT,In-Order,1.45,313.3,0.72
1,Convolution,Out-of-Order,1.04,481.3,0.82
1,FFT,Out-of-Order,1.56,510.3,0.83
1,Radix,In-Order,1.19,598.4,0.71
1,Matrix_Multiplication,Out-of-Order,1.5,422.4,0.82
1,FFT,In-Order,1.42,339.5,0.72
1,Radix,In-Order,1.41,327.3,0.72
1,LU,Out-of-Order,1.35,496.7,0.81
1,Matrix_Multiplication,Out-of-Order,1.14,446.9,0.81
1,Convolution,Out-of-Order,1.77,339.0,0.82
1,Convolution,Out-of-Order,1.15,408.0,0.79
1,Radix,In-Order,1.39,387.4,0.7
1,LU,In-Order,1.33,534.7,0.7
1,Convolution,Out-of-Order,1.47,323.5,0.81
1,LU,In-Order,0.9,344.6,0.69
1,LU,Out-of-Order,1.5,485.2,0.8
1,Radix,In-Order,0.83,369.0,0.7
1,Radix,Out-of-Order,1.4,322.9,0.83
1,LU,Out-of-Order,1.7,565.7,0.79
1,Radix,Out-of-Order,1.43,520.2,0.8
1,FFT,In-Order,0.92,588.6,0.7
1,Convolution,Out-of-Order,1.72,423.5,0.8
1,Matrix_Multiplication,In-Order,1.45,322.3,0.72
1,FFT,In-Order,0.86,559.3,0.73
1,FFT,Out-of-Order,1.61,322.0,0.8
1,LU,Out-of-Order,1.25,597.4,0.79
1,Radix,In-Order,0.85,432.4,0.7
1,Matrix_Multiplication,Out-of-Order,1.69,548.9,0.82
1,Radix,In-Order,1.3,304.4,0.71
1,Radix,In-Order,1.39,547.2,0.7
1,FFT,In-Order,1.34,579.5,0.73
1,LU,Out-of-Order,1.39,361.5,0.82
1,Convolution,Out-of-Order,1.09,315.6,0.82
1,FFT,Out-of-Order,1.47,484.4,0.79
1,Radix,In-Order,1.06,566.2,0.72
1,LU,In-Order,1.41,484.3,0.72
1,LU,In-Order,0.82,538.9,0.72
1,Convolution,Out-of-Order,1.22,359.4,0.8
1,FFT,Out-of-Order,1.16,382.8,0.81
1,LU,Out-of-Order,1.37,309.3,0.8
1,Radix,In-Order,1.13,434.1,0.69
1,Matrix_Multiplication,Out-of-Order,1.44,446.1,0.81
1,Radix,Out-of-Order,1.33,354.6,0.81
1,LU,In-Order,0.97,363.8,0.7
1,Convolution,In-Order,1.19,389.5,0.69
1,LU,In-Order,0.92,363.1,0.72
1,Radix,In-Order,1.29,571.2,0.7
1,FFT,In-Order,1.01,586.9,0.72
1,Convolution,In-Order,1.27,429.7,0.71
1,Radix,Out-of-Order,1.24,344.5,0.81
1,LU,Out-of-Order,1.74,558.9,0.81
1,Convolution,Out-of-Order,1.18,529.8,0.83
1,FFT,In-Order,0.85,414.1,0.69
1,Convolution,In-Order,1.24,548.3,0.71
1,Convolution,Out-of-Order,1.33,335.0,0.82
1,Convolution,In-Order,1.1,586.5,0.73
1,LU,Out-of-Order,1.34,360.0,0.82
1,FFT,Out-of-Order,1.65,594.9,0.83
1,FFT,Out-of-Order,1.25,476.3,0.83
1,Radix,Out-of-Order,1.52,403.0,0.82
1,LU,Out-of-Order,1.8,544.1,0.82
1,Radix,In-Order,1.17,423.2,0.72
1,Convolution,In-Order,1.15,547.8,0.71
1,Matrix_Multiplication,Out-of-Order,1.39,599.2,0.83
1,Convolution,Out-of-Order,1.22,565.9,0.8
1,LU,Out-of-Order,1.64,417.6,0.81
1,Convolution,Out-of-Order,1.08,584.4,0.8
1,LU,Out-of-Order,1.16,548.6,0.79
1,FFT,Out-of-Order,1.24,403.5,0.79
1,FFT,Out-of-Order,1.27,456.4,0.8
1,LU,Out-of-Order,1.32,302.4,0.82
1,LU,Out-of-Order,1.68,314.7,0.79
1,Matrix_Multiplication,Out-of-Order,1.77,417.9,0.8
1,Matrix_Multiplication,In-Order,1.23,397.8,0.72
1,Radix,In-Order,1.31,521.5,0.72
1,Matrix_Multiplication,In-Order,1.27,349.6,0.71
1,LU,Out-of-Order,1.29,314.5,0.8
1,Convolution,In-Order,0.97,394.1,0.73
1,FFT,Out-of-Order,1.04,427.4,0.82
1,Radix,Out-of-Order,1.64,474.3,0.81
1,FFT,In-Order,0.91,305.5,0.69
1,Radix,Out-of-Order,1.48,543.0,0.81
1,FFT,Out-of-Order,1.63,356.1,0.79
1,Matrix_Multiplication,Out-of-Order,1.06,433.7,0.82
1,Convolution,Out-of-Order,1.44,533.4,0.8
1,Convolution,In-Order,1.47,526.4,0.7
1,LU,In-Order,1.15,366.5,0.71
1,FFT,Out-of-Order,1.29,398.8,0.81
1,FFT,In-Order,1.45,428.1,0.71
1,Radix,Out-of-Order,1.06,555.1,0.82
1,Matrix_Multiplication,Out-of-Order,1.05,445.5,0.82
1,Matrix_Multiplication,In-Order,1.11,406.7,0.72
1,Convolution,Out-of-Order,1.05,528.5,0.8
1,Radix,Out-of-Order,1.78,554.6,0.83
1,Matrix_Multiplication,In-Order,1.17,551.9,0.72
1,LU,Out-of-Order,1.51,338.1,0.83
1,LU,In-Order,1.49,458.3,0.71
1,Radix,Out-of-Order,1.61,553.8,0.79
1,FFT,In-Order,1.17,501.6,0.71
1,Radix,Out-of-Order,1.75,356.9,0.81
1,FFT,In-Order,1.42,309.5,0.71
1,FFT,In-Order,1.17,583.6,0.7
1,FFT,Out-of-Order,1.22,467.7,0.82
1,FFT,In-Order,1.4,382.7,0.7
1,LU,In-Order,1.0,486.1,0.73
1,Radix,Out-of-Order,1.18,431.8,0.79
1,FFT,Out-of-Order,1.6,523.7,0.81
1,Convolution,Out-of-Order,1.55,574.8,0.79
1,Convolution,Out-of-Order,1.03,561.1,0.82
1,Radix,In-Order,1.11,399.7,0.7
1,Matrix_Multiplication,Out-of-Order,1.34,341.6,0.83
1,Convolution,In-Order,1.11,507.5,0.73
1,Convolution,In-Order,0.86,437.0,0.7
1,LU,Out-of-Order,1.44,453.7,0.8
1,FFT,In-Order,0.93,409.0,0.7
1,FFT,In-Order,1.23,429.3,0.69
1,Radix,Out-of-Order,1.2,488.0,0.8
1,LU,Out-of-Order,1.4,340.9,0.83
1,Matrix_Multiplication,Out-of-Order,1.77,550.5,0.82
1,LU,In-Order,1.25,549.0,0.72
1,FFT,In-Order,1.29,335.0,0.71
1,Matrix_Multiplication,Out-of-Order,1.46,471.2,0.79
1,FFT,In-Order,1.17,318.3,0.71
1,FFT,Out-of-Order,1.18,319.0,0.8
1,LU,Out-of-Order,1.6,570.5,0.83
1,LU,Out-of-Order,1.38,371.9,0.82
1,Radix,In-Order,1.12,562.1,0.72
1,LU,Out-of-Order,1.76,354.2,0.8
1,FFT,In-Order,1.24,452.5,0.72
1,Radix,In-Order,1.11,498.1,0.71
1,Convolution,Out-of-Order,1.42,453.8,0.8
1,LU,In-Order,1.25,342.3,0.7
1,Matrix_Multiplication,In-Order,1.01,429.2,0.7
1,Radix,Out-of-Order,1.43,392.2,0.82
1,LU,Out-of-Order,1.67,353.1,0.8
1,LU,Out-of-Order,1.5,579.1,0.8
1,Radix,Out-of-Order,1.61,394.6,0.83
1,Matrix_Multiplication,Out-of-Order,1.46,392.7,0.82
1,FFT,Out-of-Order,1.35,482.5,0.82
1,LU,In-Order,1.38,374.6,0.71
1,Convolution,Out-of-Order,1.77,423.7,0.82
1,LU,In-Order,1.17,578.6,0.71
1,FFT,In-Order,0.94,533.6,0.71
1,Matrix_Multiplication,Out-of-Order,1.07,554.0,0.82
1,Matrix_Multiplication,Out-of-Order,1.53,365.9,0.79
1,Radix,Out-of-Order,1.19,429.8,0.82
1,Matrix_Multiplication,Out-of-Order,1.37,342.6,0.8
1,Matrix_Multiplication,In-Order,1.35,545.6,0.71
1,Matrix_Multiplication,Out-of-Order,1.14,517.9,0.79
1,Matrix_Multiplication,Out-of-Order,1.64,548.0,0.8
1,Radix,Out-of-Order,1.59,597.6,0.81
1,Radix,Out-of-Order,1.69,568.4,0.81
1,FFT,Out-of-Order,1.18,556.9,0.81
1,FFT,Out-of-Order,1.54,419.9,0.79
1,Radix,In-Order,1.01,387.4,0.69
1,Matrix_Multiplication,Out-of-Order,1.64,397.6,0.79
1,Matrix_Multiplication,In-Order,1.15,325.1,0.71
1,Matrix_Multiplication,In-Order,1.44,557.7,0.7
1,LU,Out-of-Order,1.33,371.6,0.8
1,FFT,Out-of-Order,1.0,478.5,0.81
1,Convolution,Out-of-Order,1.16,558.9,0.82
1,FFT,Out-of-Order,1.22,461.0,0.8
1,FFT,In-Order,1.28,547.3,0.7
1,Radix,Out-of-Order,1.6,577.3,0.81
1,Convolution,In-Order,0.92,579.0,0.7
1,Convolution,In-Order,1.47,598.1,0.69
1,Matrix_Multiplication,In-Order,1.5,318.6,0.69
1,Matrix_Multiplication,Out-of-Order,1.3,427.8,0.82
1,LU,Out-of-Order,1.04,425.1,0.81
1,LU,Out-of-Order,1.1,452.2,0.82
1,Matrix_Multiplication,In-Order,1.09,517.4,0.69
1,Convolution,Out-of-Order,1.25,515.5,0.81
1,Convolution,In-Order,0.85,356.4,0.72
1,Matrix_Multiplication,In-Order,1.49,301.6,0.73
1,FFT,Out-of-Order,1.3,399.8,0.8
1,LU,In-Order,1.04,319.3,0.73
1,Radix,In-Order,0.89,507.3,0.72
1,FFT,Out-of-Order,1.35,574.1,0.82
1,FFT,In-Order,1.0,557.7,0.71
1,Radix,In-Order,0.98,401.6,0.72
1,LU,In-Order,0.86,404.1,0.71
1,LU,In-Order,1.04,550.7,0.72
1,Convolution,Out-of-Order,1.71,478.5,0.79
1,Matrix_Multiplication,In-Order,1.16,449.2,0.72
1,LU,Out-of-Order,1.6,302.6,0.83
1,FFT,In-Order,1.23,589.9,0.69
1,FFT,In-Order,1.25,422.5,0.73
1,Matrix_Multiplication,Out-of-Order,1.31,374.9,0.82
1,Convolution,Out-of-Order,1.62,471.9,0.82
1,Matrix_Multiplication,Out-of-Order,1.63,575.8,0.79
1,Matrix_Multiplication,In-Order,1.06,332.8,0.71
1,LU,In-Order,1.47,517.2,0.73
1,FFT,In-Order,1.48,543.7,0.71
1,FFT,In-Order,1.41,507.1,0.73
1,LU,In-Order,1.44,586.0,0.73
1,LU,In-Order,0.83,389.6,0.69
1,Matrix_Multiplication,Out-of-Order,1.04,469.3,0.8
1,LU,In-Order,0.95,391.8,0.69
1,Convolution,Out-of-Order,1.66,509.8,0.81
1,Radix,Out-of-Order,1.7,423.9,0.8
1,Radix,Out-of-Order,1.31,535.7,0.8
1,FFT,Out-of-Order,1.63,438.8,0.8
1,Matrix_Multiplication,In-Order,0.82,425.5,0.72
1,Matrix_Multiplication,Out-of-Order,1.68,579.4,0.83
1,LU,Out-of-Order,1.59,591.2,0.83
1,FFT,Out-of-Order,1.33,522.5,0.8
1,FFT,Out-of-Order,1.53,593.8,0.82
1,Convolution,Out-of-Order,1.59,461.7,0.79
1,Convolution,Out-of-Order,1.36,566.4,0.79
1,LU,In-Order,1.12,431.3,0.73
1,Convolution,Out-of-Order,1.28,570.4,0.79
1,FFT,Out-of-Order,1.68,489.7,0.81
1,Radix,Out-of-Order,1.29,410.5,0.8
1,Radix,Out-of-Order,1.08,456.7,0.8
1,Radix,Out-of-Order,1.55,434.0,0.8
1,LU,Out-of-Order,1.24,599.7,0.8
1,FFT,In-Order,1.23,565.4,0.73
1,Radix,Out-of-Order,1.79,394.7,0.81
1,FFT,In-Order,1.01,550.7,0.71
1,FFT,In-Order,0.97,311.7,0.72
1,Convolution,Out-of-Order,1.16,323.0,0.8
1,FFT,Out-of-Order,1.55,464.7,0.82
1,LU,Out-of-Order,1.6,510.0,0.8
1,FFT,In-Order,0.85,368.8,0.71
1,LU,Out-of-Order,1.62,445.3,0.81
1,Matrix_Multiplication,In-Order,0.9,351.9,0.71
1,LU,Out-of-Order,1.4,557.8,0.83
1,FFT,Out-of-Order,1.36,581.4,0.79
1,Radix,In-Order,1.28,564.1,0.72
1,Radix,In-Order,0.98,449.9,0.71
1,Convolution,In-Order,0.97,546.0,0.69
1,FFT,In-Order,1.31,415.5,0.73
1,LU,In-Order,0.9,463.0,0.71
1,Radix,Out-of-Order,1.26,462.4,0.8
1,FFT,In-Order,0.87,459.1,0.73
1,LU,In-Order,1.1,558.6,0.71
1,Matrix_Multiplication,Out-of-Order,1.14,581.4,0.81
1,FFT,Out-of-Order,1.11,387.6,0.81
1,LU,In-Order,1.32,414.1,0.73
1,Matrix_Multiplication,Out-of-Order,1.49,307.8,0.79
1,Radix,Out-of-Order,1.31,524.0,0.8
1,LU,Out-of-Order,1.04,468.1,0.81
1,Convolution,Out-of-Order,1.07,385.8,0.81
1,LU,In-Order,1.2,570.9,0.71
1,Convolution,In-Order,1.02,577.8,0.73
1,FFT,In-Order,1.23,438.3,0.71
1,Convolution,Out-of-Order,1.44,362.7,0.82
1,LU,Out-of-Order,1.26,533.1,0.81
1,Matrix_Multiplication,Out-of-Order,1.56,366.1,0.8
1,Radix,In-Order,1.44,340.8,0.7
1,Matrix_Multiplication,In-Order,0.88,417.1,0.69
1,Matrix_Multiplication,In-Order,1.09,489.8,0.73
1,LU,In-Order,1.19,525.2,0.7
1,Matrix_Multiplication,In-Order,1.29,448.6,0.7
1,Matrix_Multiplication,Out-of-Order,1.49,515.2,0.79
1,Matrix_Multiplication,In-Order,1.36,306.2,0.72
1,LU,Out-of-Order,1.45,316.5,0.81
1,Matrix_Multiplication,In-Order,0.98,478.4,0.69
1,FFT,In-Order,0.94,549.2,0.73
1,Radix,Out-of-Order,1.46,599.4,0.81
1,FFT,In-Order,1.06,412.2,0.71
1,LU,In-Order,1.28,416.0,0.7
1,Convolution,Out-of-Order,1.49,340.0,0.8
1,Matrix_Multiplication,In-Order,1.2,450.2,0.71
1,Matrix_Multiplication,Out-of-Order,1.0,361.1,0.82
1,FFT,In-Order,0.88,510.3,0.71
1,FFT,Out-of-Order,1.34,390.3,0.83
1,Radix,Out-of-Order,1.23,478.3,0.79
1,FFT,In-Order,0.98,510.1,0.69
1,Convolution,Out-of-Order,1.45,452.9,0.8
1,Radix,Out-of-Order,1.24,386.4,0.83
1,Convolution,In-Order,0.83,533.1,0.7
1,FFT,Out-of-Order,1.24,555.0,0.81
1,LU,In-Order,1.35,419.3,0.69
1,LU,In-Order,1.27,504.8,0.71
1,FFT,In-Order,1.47,544.1,0.7
1,LU,Out-of-Order,1.67,328.8,0.83
1,Radix,In-Order,1.43,355.3,0.69
1,Convolution,Out-of-Order,1.47,518.2,0.82
1,Matrix_Multiplication,Out-of-Order,1.75,309.7,0.81
1,FFT,In-Order,0.97,490.0,0.73
1,LU,In-Order,1.38,561.2,0.73
1,Matrix_Multiplication,In-Order,1.33,534.7,0.69
1,FFT,Out-of-Order,1.14,599.1,0.82
1,Matrix_Multiplication,In-Order,1.17,325.0,0.7
1,LU,Out-of-Order,1.05,508.9,0.81
1,Convolution,In-Order,0.89,357.2,0.72
1,FFT,Out-of-Order,1.06,477.3,0.81
1,Convolution,In-Order,1.46,584.5,0.69
1,Matrix_Multiplication,In-Order,0.97,412.1,0.72
1,Radix,In-Order,1.48,403.3,0.7
1,Convolution,In-Order,1.28,495.8,0.73
1,LU,In-Order,1.03,488.6,0.72
1,Convolution,In-Order,1.1,336.2,0.71
1,LU,Out-of-Order,1.29,417.8,0.82
1,FFT,In-Order,1.2,309.5,0.69
1,Matrix_Multiplication,Out-of-Order,1.17,305.7,0.79
1,LU,Out-of-Order,1.79,381.9,0.81
1,Convolution,Out-of-Order,1.41,326.6,0.81
1,Convolution,In-Order,1.4,371.9,0.7
1,Radix,Out-of-Order,1.54,332.0,0.8
1,FFT,In-Order,0.86,559.4,0.7
1,Radix,In-Order,0.84,542.6,0.71
1,FFT,Out-of-Order,1.24,416.2,0.82
1,FFT,In-Order,1.37,519.7,0.73
1,Convolution,In-Order,1.19,484.4,0.69
1,Convolution,Out-of-Order,1.4,595.4,0.82
1,Convolution,In-Order,0.82,426.1,0.69
1,LU,In-Order,0.94,573.6,0.71
1,FFT,In-Order,1.34,397.6,0.69
1,Radix,Out-of-Order,1.25,555.8,0.82
1,FFT,In-Order,1.41,353.9,0.72
1,Matrix_Multiplication,In-Order,1.26,398.7,0.72
1,FFT,In-Order,1.24,519.0,0.7
1,Matrix_Multiplication,Out-of-Order,1.62,522.5,0.83
1,Convolution,In-Order,1.46,451.2,0.72
1,Radix,In-Order,1.07,345.7,0.71
1,Radix,In-Order,1.21,464.8,0.7
1,Radix,In-Order,1.44,582.2,0.73
1,LU,Out-of-Order,1.6,360.2,0.82
1,Convolution,Out-of-Order,1.38,373.5,0.83
1,Convolution,Out-of-Order,1.7,598.9,0.8
1,LU,Out-of-Order,1.23,314.9,0.8
1,FFT,In-Order,1.36,384.9,0.72
1,Convolution,Out-of-Order,1.59,392.4,0.8
1,FFT,In-Order,1.33,353.5,0.7
1,FFT,Out-of-Order,1.04,447.1,0.8
1,FFT,In-Order,1.07,515.8,0.73
1,Radix,In-Order,1.15,425.3,0.69
1,FFT,In-Order,0.81,350.6,0.69
1,Convolution,Out-of-Order,1.08,409.9,0.83
1,FFT,Out-of-Order,1.47,577.5,0.79
1,Convolution,Out-of-Order,1.35,335.6,0.83
1,Matrix_Multiplication,In-Order,1.19,507.2,0.72
1,Radix,In-Order,1.31,379.4,0.71
1,LU,In-Order,1.44,499.8,0.7
1,Convolution,In-Order,1.23,509.5,0.72
1,Matrix_Multiplication,Out-of-Order,1.16,348.0,0.8
1,Convolution,In-Order,1.06,544.2,0.7
1,Convolution,Out-of-Order,1.62,362.6,0.83
1,FFT,In-Order,1.11,558.1,0.7
1,Matrix_Multiplication,Out-of-Order,1.3,436.3,0.83
1,Matrix_Multiplication,In-Order,1.26,437.1,0.72
1,Convolution,In-Order,0.87,556.2,0.69
1,Convolution,In-Order,1.11,357.2,0.69
1,Radix,Out-of-Order,1.17,507.2,0.8
1,FFT,Out-of-Order,1.58,483.3,0.8
1,FFT,Out-of-Order,1.64,300.2,0.81
1,Matrix_Multiplication,Out-of-Order,1.09,350.8,0.83
1,FFT,In-Order,1.14,494.9,0.73
1,Convolution,In-Order,1.21,388.1,0.69
1,FFT,Out-of-Order,1.06,333.6,0.79
1,Radix,In-Order,1.09,325.5,0.69
1,LU,Out-of-Order,1.59,523.6,0.83
1,Matrix_Multiplication,Out-of-Order,1.08,585.6,0.8
1,FFT,Out-of-Order,1.69,327.8,0.81
1,Matrix_Multiplication,Out-of-Order,1.41,324.6,0.81
1,Convolution,Out-of-Order,1.62,410.6,0.8
1,FFT,Out-of-Order,1.58,515.5,0.8
1,Convolution,In-Order,1.19,424.8,0.7
1,Radix,Out-of-Order,1.75,407.2,0.81
1,FFT,Out-of-Order,1.53,435.7,0.81
1,Matrix_Multiplication,In-Order,0.8,372.8,0.69
1,LU,Out-of-Order,1.38,418.3,0.81
1,Convolution,Out-of-Order,1.62,582.0,0.83
1,FFT,In-Order,1.08,329.1,0.7
1,Convolution,Out-of-Order,1.13,568.5,0.82
1,Matrix_Multiplication,In-Order,0.81,314.5,0.71
1,LU,In-Order,0.91,318.3,0.7
1,LU,In-Order,1.23,405.3,0.72
1,LU,Out-of-Order,1.67,545.2,0.79
1,LU,In-Order,1.34,579.6,0.73
1,FFT,Out-of-Order,1.24,437.4,0.83
1,Matrix_Multiplication,Out-of-Order,1.1,448.9,0.79
1,FFT,Out-of-Order,1.7,402.3,0.8
1,FFT,In-Order,1.07,493.9,0.72
1,Matrix_Multiplication,Out-of-Order,1.09,534.8,0.83
1,Convolution,In-Order,1.23,578.9,0.72
1,Radix,In-Order,1.2,387.2,0.71
1,Radix,In-Order,1.2,506.3,0.71
1,FFT,In-Order,1.4,477.2,0.72
1,Convolution,In-Order,1.22,405.2,0.72
1,Convolution,In-Order,0.84,548.4,0.71
1,FFT,In-Order,1.03,428.1,0.7
1,LU,Out-of-Order,1.33,568.4,0.81
1,LU,In-Order,1.35,333.1,0.69
1,Matrix_Multiplication,In-Order,0.94,348.1,0.72
1,Matrix_Multiplication,In-Order,0.91,385.0,0.69
1,FFT,In-Order,0.81,434.6,0.7
1,Matrix_Multiplication,In-Order,1.46,574.5,0.71
1,Radix,Out-of-Order,1.58,409.9,0.8
1,Radix,In-Order,1.24,386.4,0.72
1,FFT,Out-of-Order,1.01,573.7,0.79
2,LU,In-Order,1.22,577.5,0.71
2,Convolution,In-Order,1.45,398.0,0.74
2,FFT,Out-of-Order,1.46,370.0,0.8
2,FFT,In-Order,1.15,519.1,0.7
2,LU,Out-of-Order,1.78,443.9,0.83
2,FFT,In-Order,1.4,497.5,0.72
2,Convolution,Out-of-Order,1.18,457.5,0.82
2,Radix,Out-of-Order,1.03,379.6,0.83
2,LU,In-Order,0.98,549.1,0.73
2,Matrix_Multiplication,Out-of-Order,1.32,563.4,0.82
2,Radix,Out-of-Order,1.32,333.5,0.82
2,Radix,In-Order,1.13,407.0,0.74
2,Matrix_Multiplication,Out-of-Order,1.3,432.6,0.81
2,FFT,In-Order,1.32,301.5,0.72
2,LU,In-Order,1.09,571.5,0.74
2,Matrix_Multiplication,Out-of-Order,1.14,517.5,0.8
2,LU,In-Order,1.18,318.6,0.71
2,LU,Out-of-Order,1.43,499.5,0.84
2,Radix,In-Order,0.95,443.6,0.7
2,FFT,Out-of-Order,1.28,366.7,0.83
2,Convolution,Out-of-Order,1.73,578.2,0.8
2,Matrix_Multiplication,In-Order,1.06,448.2,0.7
2,Convolution,Out-of-Order,1.44,334.5,0.82
2,LU,Out-of-Order,1.19,525.8,0.81
2,Matrix_Multiplication,Out-of-Order,1.38,380.2,0.8
2,Convolution,In-Order,1.03,462.1,0.72
2,Convolution,Out-of-Order,1.55,310.7,0.83
2,Matrix_Multiplication,Out-of-Order,1.33,300.1,0.82
2,FFT,In-Order,0.94,347.9,0.73
2,LU,Out-of-Order,1.44,597.1,0.83
2,FFT,In-Order,0.99,365.0,0.73
2,LU,Out-of-Order,1.51,465.3,0.8
2,Radix,In-Order,0.92,478.9,0.7
2,Convolution,Out-of-Order,1.16,350.0,0.83
2,Matrix_Multiplication,Out-of-Order,1.2,599.5,0.8
2,LU,In-Order,1.05,515.1,0.71
2,Matrix_Multiplication,Out-of-Order,1.61,364.6,0.83
2,LU,In-Order,1.23,568.7,0.73
2,Convolution,In-Order,1.39,366.3,0.71
2,LU,In-Order,1.35,316.5,0.74
